Price,Close,High,Low,Open,Volume
Date,,,,,
1997-09-11,4010.070068359380,4070.360107421880,4008.0,4057.89990234375,0
1997-09-12,3995.93994140625,4018.5,3979.429931640630,4013.010009765630,0
1997-09-15,4018.419921875,4057.35009765625,3985.969970703130,3987.389892578130,0
1997-09-16,4012.590087890630,4035.389892578130,4000.840087890630,4026.02001953125,0
1997-09-17,3928.330078125,4013.679931640630,3914.580078125,4013.679931640630,0
1997-09-18,3884.77001953125,3904.419921875,3844.489990234380,3904.419921875,0
1997-09-19,3825.1201171875,3894.090087890630,3820.280029296880,3891.6298828125,0
1997-09-22,3770.989990234380,3835.0400390625,3758.52001953125,3830.81005859375,0
1997-09-23,3822.419921875,3823.2900390625,3763.3701171875,3772.590087890630,0
1997-09-24,3825.909912109380,3864.25,3823.010009765630,3834.969970703130,0
1997-09-25,3887.56005859375,3888.510009765630,3835.800048828130,3835.800048828130,0
1997-09-26,3925.239990234380,3927.77001953125,3883.8798828125,3895.97998046875,0
1997-09-29,3912.830078125,3964.030029296880,3908.840087890630,3918.050048828130,0
1997-09-30,3902.030029296880,3918.419921875,3885.590087890630,3911.340087890630,0
1997-10-01,3905.510009765630,3905.510009765630,3848.14990234375,3885.409912109380,0
1997-10-03,3847.72998046875,3923.260009765630,3833.919921875,3907.219970703130,0
1997-10-06,3857.340087890630,3862.169921875,3829.050048828130,3850.35009765625,0
1997-10-07,3909.4599609375,3910.330078125,3845.7099609375,3851.93994140625,0
1997-10-08,3930.22998046875,3940.530029296880,3912.39990234375,3912.39990234375,0
1997-10-09,3979.9599609375,3982.43994140625,3917.389892578130,3927.85009765625,0
1997-10-10,4057.3701171875,4083.989990234380,3999.64990234375,3999.64990234375,0
1997-10-13,4066.050048828130,4118.919921875,4056.47998046875,4093.919921875,0
1997-10-14,4012.39990234375,4062.81005859375,4011.110107421880,4061.510009765630,0
1997-10-15,4034.550048828130,4042.68994140625,3999.139892578130,4015.550048828130,0
1997-10-16,4077.050048828130,4090.510009765630,4046.469970703130,4082.659912109380,0
1997-10-17,4106.259765625,4137.77001953125,4095.699951171880,4102.2900390625,0
1997-10-20,4154.83984375,4157.009765625,4103.6298828125,4123.7998046875,0
1997-10-21,4116.990234375,4166.14013671875,4103.85986328125,4157.68994140625,0
1997-10-22,4082.699951171880,4119.5498046875,4079.8701171875,4118.669921875,0
1997-10-23,4009.77001953125,4080.1201171875,3983.179931640630,4073.419921875,0
1997-10-24,3957.4599609375,3992.39990234375,3922.5400390625,3992.39990234375,0
1997-10-27,3934.330078125,3979.530029296880,3914.9599609375,3969.75,0
1997-10-30,3803.239990234380,3815.239990234380,3795.659912109380,3803.090087890630,0
1997-11-03,3790.820068359380,3820.3701171875,3748.889892578130,3814.75,0
1997-11-04,3805.949951171880,3852.239990234380,3782.93994140625,3799.550048828130,0
1997-11-05,3778.22998046875,3807.449951171880,3759.159912109380,3805.139892578130,0
1997-11-06,3763.9599609375,3766.760009765630,3714.030029296880,3744.389892578130,0
1997-11-07,3747.320068359380,3764.610107421880,3732.110107421880,3761.159912109380,0
1997-11-10,3721.050048828130,3733.31005859375,3707.669921875,3733.31005859375,0
1997-11-11,3723.39990234375,3750.25,3723.39990234375,3724.85009765625,0
1997-11-12,3633.179931640630,3739.0400390625,3627.85009765625,3721.389892578130,0
1997-11-13,3554.10009765625,3616.43994140625,3534.06005859375,3601.300048828130,0
1997-11-14,3569.77001953125,3594.179931640630,3514.68994140625,3570.340087890630,0
1997-11-17,3578.10009765625,3580.909912109380,3539.25,3552.429931640630,0
1997-11-18,3518.89990234375,3573.8701171875,3494.800048828130,3573.8701171875,0
1997-11-19,3454.64990234375,3479.070068359380,3393.14990234375,3479.070068359380,0
1997-11-20,3466.860107421880,3504.409912109380,3390.7099609375,3394.27001953125,0
1997-11-21,3523.43994140625,3541.22998046875,3450.39990234375,3450.75,0
1997-11-24,3403.070068359380,3518.580078125,3399.719970703130,3512.820068359380,0
1997-11-25,3479.889892578130,3490.39990234375,3388.4599609375,3400.75,0
1997-11-26,3535.52001953125,3577.590087890630,3514.97998046875,3516.050048828130,0
1997-11-27,3628.070068359380,3645.89990234375,3524.139892578130,3530.679931640630,0
1997-11-28,3560.2900390625,3617.330078125,3522.590087890630,3616.469970703130,0
1997-12-01,3569.64990234375,3574.06005859375,3488.659912109380,3536.070068359380,0
1997-12-02,3553.47998046875,3601.429931640630,3538.0,3566.530029296880,0
1997-12-03,3562.3701171875,3590.89990234375,3537.669921875,3559.8798828125,0
1997-12-04,3527.10009765625,3595.0,3503.489990234380,3530.31005859375,0
1997-12-05,3469.080078125,3552.27001953125,3469.080078125,3526.02001953125,0
1997-12-08,3468.18994140625,3493.2099609375,3455.860107421880,3479.409912109380,0
1997-12-09,3391.590087890630,3485.010009765630,3367.889892578130,3469.919921875,0
1997-12-10,3347.330078125,3380.030029296880,3325.25,3364.510009765630,0
1997-12-11,3329.139892578130,3344.409912109380,3247.6298828125,3336.330078125,0
